Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType
ARM,283.3999938964844,309.76,301.72,0.29,301.72,309.76,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+20.1%) | 🧠 AI半導體共振,14,14.29,0,-6.1,🎯 甜點價,301.72,314.67,244.54,25.91,9.1,down,0.71,0.2006,,43.3,1,1,0,0,0,consolidation_dip
GILD,130.33999633789062,130.54,129.64,0.67,129.64,140.61,consolidate,📐 盤整甜點位｜量縮低接 | 🧬 生技共振,13,13.67,0,0.5,🎯 甜點價,129.64,131.66,124.29,4.03,3.1,up,0.17,0.0439,,49.6,1,1,0,0,1,consolidation_dip
MDLZ,60.86000061035156,59.84,60.52,0.65,60.52,63.04,consolidate,📐 盤整甜點位｜量縮低接 | 🛒 消費共振,13,13.65,0,0.6,🎯 甜點價,60.52,61.35,58.38,1.65,2.7,up,0.21,0.0824,,53.2,1,1,0,0,1,consolidation_dip
KDP,30.200000762939453,31.56,30.27,0.59,30.27,31.87,consolidate,📐 盤整甜點位｜量縮低接 | 🛒 消費共振,13,13.59,0,-0.2,🎯 甜點價,30.27,30.74,28.79,0.94,3.1,down,0.07,0.0938,,43.8,1,1,0,0,0,consolidation_dip
META,627.1699829101562,615.93,609.66,0.65,609.66,681.9,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+33.1%),12,12.65,0,2.9,🎯 甜點價,609.66,623.09,586.89,26.85,4.3,up,0.65,0.3308,,51.5,1,1,0,0,1,consolidation_dip
AXON,491.489990234375,542.82,461.85,0.51,461.85,545.31,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+33.8%),12,12.51,0,6.4,🎯 甜點價,461.85,479.08,439.8,34.46,7.0,up,0.86,0.3375,,44.4,1,1,0,0,1,consolidation_dip
CEG,274.8999938964844,254.16,272.35,0.93,272.35,275.54,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 🚀 季營收爆量+50%(+63.8%) | ⚡ AI電力共振,11,11.93,0,0.9,🎯 甜點價,272.35,277.08,260.71,9.46,3.4,up,0.27,0.6385,,61.4,0,1,0,0,1,none
NVDA,212.05999755859372,202.29,209.06,0.83,209.06,214.39,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 🚀 季營收爆量+50%(+85.2%) | 🧠 AI半導體共振,11,11.83,0,1.4,🎯 甜點價,209.06,212.65,201.28,7.19,3.4,up,0.42,0.8523,,56.2,0,1,0,0,1,none
ABNB,140.0500030517578,145.87,139.41,0.64,139.41,150.88,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+17.9%),11,11.64,0,0.5,🎯 甜點價,139.41,141.49,133.81,4.16,3.0,up,0.15,0.1787,,43.9,1,1,0,0,1,consolidation_dip
CSCO,112.20999908447266,114.91,112.46,0.56,112.46,114.91,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+12.0%),11,11.56,0,-0.2,🎯 甜點價,112.46,114.37,106.47,3.83,3.4,down,0.07,0.1196,,45.7,1,1,0,0,0,consolidation_dip
ZS,142.25999450683594,143.25,143.02,0.5,143.02,153.3,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+25.4%),11,11.5,0,-0.5,🎯 甜點價,143.02,146.96,130.44,7.88,5.5,down,0.1,0.2543,,49.3,1,1,0,0,0,consolidation_dip
STX,908.0999755859376,882.33,854.85,1.23,854.85,921.38,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+44.1%) | 💾 記憶體儲存共振,10,11.23,0,6.2,🎯 甜點價,854.85,896.61,782.82,83.52,9.2,up,0.64,0.4407,,53.0,0,1,0,0,1,none
AMD,552.3300170898438,532.59,482.69,0.68,482.69,561.47,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+37.9%) | 🧠 AI半導體共振,10,10.68,0,14.4,📍 偏離待回 ↑,502.35,541.68,487.28,39.33,7.1,up,1.77,0.3785,,56.1,1,0,0,0,1,none
LIN,508.6700134277344,522.5,512.01,0.67,512.01,527.46,consolidate,📐 盤整甜點位｜量縮低接,10,10.67,0,-0.7,🎯 甜點價,512.01,517.68,491.65,11.35,2.2,down,0.29,0.0825,,43.7,1,1,0,0,0,consolidation_dip
TRI,87.33000183105469,89.02,86.77,0.63,86.77,101.1,consolidate,📐 盤整甜點位｜量縮低接,10,10.63,0,0.6,🎯 甜點價,86.77,88.93,80.85,4.32,4.9,up,0.13,0.0984,,47.5,1,1,0,0,1,consolidation_dip
MAR,369.7999877929688,372.19,372.21,0.59,372.21,376.44,consolidate,📐 盤整甜點位｜量縮低接,10,10.59,0,-0.6,🎯 甜點價,372.21,376.18,357.89,7.94,2.1,down,0.3,0.0624,,46.4,1,1,0,0,0,consolidation_dip
TTWO,233.5800018310547,244.1,230.7,0.53,230.7,244.1,consolidate,📐 盤整甜點位｜量縮低接,10,10.53,0,1.2,🎯 甜點價,230.7,234.25,222.94,7.09,3.0,up,0.41,0.0615,,44.9,1,1,0,0,1,consolidation_dip
MPWR,1398.449951171875,1345.16,1494.62,0.81,1494.62,1419.92,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+26.1%) | 🧠 AI半導體共振,9,9.81,0,-6.4,📍 偏離待回 ↓,1451.13,1494.62,1294.09,86.97,6.2,down,1.11,0.2614,,50.8,0,1,0,0,1,none
ASML,1801.8599853515625,1800.89,1686.21,0.55,1686.21,1853.45,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+21.2%) | 🔧 半導體設備共振,9,9.55,0,6.9,📍 偏離待回 ↑,1729.31,1815.52,1698.41,86.21,4.8,up,1.34,0.2125,,52.0,1,1,0,0,1,none
XEL,80.19000244140625,80.27,79.35,0.72,79.35,81.51,consolidate,🌤️ 守均線拉回｜回測MA60不破 | ⚡ AI電力共振,8,8.719999999999999,0,1.1,🎯 甜點價,79.35,80.15,77.78,1.61,2.0,up,0.52,0.0294,,52.7,0,1,0,0,1,none
APP,412.4800109863281,479.22,495.61,1.4,495.61,479.22,transition_low,🔥 靈魂吸籌(觀察標記) | 🚀 季營收爆量+50%(+59.0%),3,4.4,0,-16.8,⚠️ 已偏離,0.0,0.0,366.15,30.89,7.5,down,2.69,0.5897,,34.6,0,0,0,0,0,none
ALNY,266.989990234375,293.37,294.02,0.87,294.02,293.37,transition_low,🔎 觀望 | 🚀 季營收爆量+50%(+96.4%),3,3.87,0,-9.2,📍 偏離待回 ↓,286.73,294.02,249.49,14.59,5.5,down,1.85,0.9643,,35.3,0,0,0,0,0,none
PLTR,124.56999969482422,126.62,133.39,0.8,133.39,136.62,consolidate,🔎 觀望 | 🚀 季營收爆量+50%(+84.7%),3,3.8,0,-6.6,📍 偏離待回 ↓,129.97,133.39,116.36,6.84,5.5,down,1.29,0.8471,,43.7,0,1,0,0,0,none
SNPS,377.6099853515625,429.6,469.25,1.24,469.25,429.6,transition_low,🔥 靈魂吸籌(觀察標記) | ✨ 季營收強勢+30%(+41.9%),2,3.24,0,-19.5,⚠️ 已偏離,0.0,0.0,352.3,16.87,4.5,down,5.43,0.4187,,26.7,0,0,1,0,0,none
ISRG,340.69000244140625,394.95,418.38,1.89,418.38,405.5,transition_low,🔥 靈魂吸籌(觀察標記) | 📈 季營收成長+10%(+23.0%),1,2.89,0,-18.6,⚠️ 已偏離,0.0,0.0,315.06,17.09,5.0,down,4.55,0.2296,,30.8,0,0,0,0,0,none
DASH,177.72999572753906,186.93,170.31,0.76,170.31,194.5,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+33.1%),2,2.76,0,4.4,🎯 甜點價,170.31,174.34,165.63,8.06,4.5,up,0.92,0.3311,,46.3,0,1,0,0,1,none
ADI,386.7300109863281,389.16,403.9,0.73,403.9,389.16,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+37.2%),2,2.73,0,-4.3,📍 偏離待回 ↓,396.15,403.9,368.12,15.51,4.0,down,1.11,0.3725,,47.4,0,1,0,0,0,none
SHOP,118.41999816894533,120.38,113.83,0.7,113.83,128.26,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+34.3%),2,2.7,0,4.0,🎯 甜點價,113.83,116.77,109.61,5.88,5.0,up,0.78,0.3432,,49.0,0,1,0,0,1,none
DDOG,245.7700042724609,254.86,223.12,0.68,223.12,268.83,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+32.1%),2,2.68,0,10.2,📍 偏離待回 ↑,230.04,243.89,229.15,13.85,5.6,up,1.64,0.3215,,48.3,1,0,0,0,1,none
PANW,335.2799987792969,335.55,274.91,0.66,274.91,368.8,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+31.1%),2,2.66,0,22.0,⚠️ 已偏離,0.0,0.0,307.7,18.39,5.5,up,3.28,0.3115,,55.5,1,0,0,0,1,none
MCHP,85.0199966430664,86.57,91.92,0.62,91.92,86.57,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+35.1%),2,2.62,0,-7.5,📍 偏離待回 ↓,89.67,91.92,79.63,4.49,5.3,down,1.54,0.3511,,46.4,1,1,0,0,0,none
TXN,294.19000244140625,297.18,297.59,1.31,297.59,297.59,consolidate,🔥 靈魂吸籌(觀察標記) | 📈 季營收成長+10%(+18.6%),1,2.31,0,-1.1,🎯 甜點價,297.59,304.75,272.71,14.32,4.9,down,0.24,0.1858,,48.6,0,1,0,0,0,none
EA,208.9499969482422,206.4,203.36,1.25,203.36,209.34,consolidate,🔥 靈魂吸籌(觀察標記) | 📈 季營收成長+10%(+11.9%),1,2.25,0,2.7,🎯 甜點價,203.36,206.49,199.55,0.83,0.4,up,0.89,0.1187,,76.8,0,1,0,0,1,none
GOOGL,342.0899963378906,354.77,369.27,1.18,369.27,375.27,consolidate,🔎 觀望 | 📈 季營收成長+10%(+21.8%),1,2.18,0,-7.4,⚠️ 已偏離,0.0,0.0,325.86,10.82,3.2,down,2.51,0.2179,,40.6,0,1,0,0,0,none
NFLX,68.52999877929688,72.97,81.22,1.0,81.22,74.68,transition_low,🔎 觀望 | 📈 季營收成長+10%(+16.2%),1,2.0,0,-15.6,⚠️ 已偏離,0.0,0.0,64.34,2.79,4.1,down,4.54,0.1619,,32.3,0,0,0,0,0,none
CDNS,337.010009765625,367.02,368.69,0.92,368.69,369.13,transition_low,🔎 觀望 | 📈 季營收成長+10%(+18.7%),1,1.92,0,-8.6,⚠️ 已偏離,0.0,0.0,313.73,15.52,4.6,down,2.04,0.1866,,35.6,0,0,0,0,0,none
ORLY,86.52999877929688,87.19,89.51,0.92,89.51,90.58,consolidate,🔎 觀望 | 📈 季營收成長+10%(+10.2%),1,1.92,0,-3.3,🎯 甜點價,89.51,91.04,81.93,3.07,3.5,down,0.97,0.1024,,48.2,0,1,0,0,0,none
PAYX,110.73999786376952,106.56,99.17,0.88,99.17,117.72,transition_high,🔎 觀望 | 📈 季營收成長+10%(+19.9%),1,1.88,0,11.7,⚠️ 已偏離,0.0,0.0,105.54,3.47,3.1,up,3.33,0.1987,,60.1,0,0,0,0,1,none
MNST,95.66999816894533,96.73,89.73,0.82,89.73,100.34,consolidate,🔎 觀望 | 📈 季營收成長+10%(+26.9%),1,1.82,0,6.6,⚠️ 已偏離,0.0,0.0,92.51,2.11,2.2,up,2.82,0.2689,,52.3,0,1,0,0,1,none
FAST,45.33000183105469,46.61,45.46,0.81,45.46,47.45,consolidate,🔎 觀望 | 📈 季營收成長+10%(+14.7%),1,1.81,0,-0.3,🎯 甜點價,45.46,46.16,43.24,1.39,3.1,down,0.09,0.1474,,45.2,0,1,0,0,0,none
COST,927.3099975585938,936.9,978.41,0.81,978.41,964.33,consolidate,🔎 觀望 | 📈 季營收成長+10%(+11.6%),1,1.81,0,-5.2,⚠️ 已偏離,0.0,0.0,897.74,19.71,2.1,down,2.59,0.1158,,43.0,0,1,0,0,0,none
KLAC,214.69000244140625,235.54,212.69,0.79,212.69,235.54,consolidate,🔎 觀望 | 📈 季營收成長+10%(+11.5%),1,1.79,0,0.9,🎯 甜點價,212.69,222.12,186.41,18.85,8.8,up,0.11,0.1149,,45.4,0,1,0,0,1,none
WDAY,132.4199981689453,135.1,131.04,0.79,131.04,149.88,consolidate,🔎 觀望 | 📈 季營收成長+10%(+13.5%),1,1.79,0,1.1,🎯 甜點價,131.04,135.02,120.49,7.96,6.0,up,0.17,0.1348,,46.7,0,1,0,0,1,none
DXCM,71.43000030517578,72.68,69.41,0.76,69.41,79.15,consolidate,🔎 觀望 | 📈 季營收成長+10%(+15.0%),1,1.76,0,2.9,🎯 甜點價,69.41,70.8,67.25,2.79,3.9,up,0.72,0.1505,,46.7,0,1,0,0,1,none
TMUS,190.94000244140625,183.94,186.3,0.76,186.3,198.86,consolidate,🔎 觀望 | 📈 季營收成長+10%(+10.6%),1,1.76,0,2.5,🎯 甜點價,186.3,189.35,181.78,6.11,3.2,up,0.76,0.1063,,56.4,0,1,0,0,1,none
AAPL,325.8900146484375,310.06,300.52,0.76,300.52,334.99,consolidate,🔎 觀望 | 📈 季營收成長+10%(+16.6%),1,1.76,0,8.4,⚠️ 已偏離,0.0,0.0,312.97,8.61,2.6,up,2.95,0.166,,62.5,0,0,0,0,1,none
ADSK,203.5,205.67,221.41,0.74,221.41,221.81,transition_low,🔎 觀望 | 📈 季營收成長+10%(+18.4%),1,1.74,0,-8.1,⚠️ 已偏離,0.0,0.0,191.9,7.73,3.8,down,2.32,0.1843,,44.0,0,0,0,0,0,none
MSFT,390.3399963378906,384.64,402.93,0.73,402.93,405.99,consolidate,🔎 觀望 | 📈 季營收成長+10%(+18.3%),1,1.73,0,-3.1,📍 偏離待回 ↓,396.83,402.93,375.7,12.2,3.1,down,1.03,0.183,,49.2,0,1,0,0,1,none
FTNT,155.0500030517578,157.88,136.22,0.71,136.22,165.0,consolidate,🔎 觀望 | 📈 季營收成長+10%(+20.1%),1,1.71,0,13.8,⚠️ 已偏離,0.0,0.0,145.04,6.67,4.3,up,2.82,0.2013,,51.6,0,0,0,0,1,none
ADBE,218.3600006103516,218.52,232.36,0.7,232.36,240.15,consolidate,🔎 觀望 | 📈 季營收成長+10%(+12.7%),1,1.7,0,-6.0,📍 偏離待回 ↓,227.65,232.36,207.06,9.41,4.3,down,1.49,0.1269,,46.2,0,1,0,0,0,none
AMZN,244.8500061035156,243.61,253.53,0.67,253.53,258.08,consolidate,🔎 觀望 | 📈 季營收成長+10%(+16.6%),1,1.67,0,-3.4,📍 偏離待回 ↓,250.01,253.53,236.41,7.03,2.9,down,1.23,0.1661,,48.4,1,1,0,0,1,none
NXPI,278.79998779296875,279.98,293.43,0.65,293.43,279.98,consolidate,🔎 觀望 | 📈 季營收成長+10%(+12.2%),1,1.65,0,-5.0,📍 偏離待回 ↓,287.03,293.43,263.44,12.8,4.6,down,1.14,0.122,,47.5,1,1,0,0,0,none
INTU,284.4700012207031,276.14,317.75,0.64,317.75,302.07,transition_low,🔎 觀望 | 📈 季營收成長+10%(+10.4%),1,1.64,0,-10.5,⚠️ 已偏離,0.0,0.0,264.2,13.52,4.8,down,2.46,0.1037,,48.9,1,0,0,0,1,none
CRWD,188.4199981689453,191.89,166.31,0.62,166.31,209.5,consolidate,🔎 觀望 | 📈 季營收成長+10%(+25.6%),1,1.62,0,13.3,⚠️ 已偏離,0.0,0.0,172.37,10.7,5.7,up,2.07,0.2557,,50.9,1,0,0,0,1,none
ROST,238.2100067138672,221.67,224.87,0.62,224.87,239.04,consolidate,🔎 觀望 | 📈 季營收成長+10%(+20.6%),1,1.62,0,5.9,⚠️ 已偏離,0.0,0.0,229.43,5.85,2.5,up,2.28,0.2057,,65.7,1,1,0,0,1,none
MSTR,100.01000213623048,94.59,133.07,0.61,133.07,104.6,low,🔎 觀望 | 📈 季營收成長+10%(+11.9%),1,1.61,0,-24.8,⚠️ 已偏離,0.0,0.0,89.46,7.03,7.0,down,4.7,0.1192,,45.7,1,0,0,0,1,none
TSLA,374.010009765625,394.62,404.91,0.54,404.91,395.31,consolidate,🔎 觀望 | 📈 季營收成長+10%(+15.8%),1,1.54,0,-7.6,📍 偏離待回 ↓,396.46,404.91,353.73,16.9,4.5,down,1.83,0.1578,,41.7,1,1,0,0,0,none
PDD,83.58999633789062,82.24,87.9,0.53,87.9,87.76,consolidate,🔎 觀望 | 📈 季營收成長+10%(+11.0%),1,1.53,0,-4.9,📍 偏離待回 ↓,86.59,87.9,80.45,2.62,3.1,down,1.65,0.1103,,49.0,1,1,0,0,1,none
BKNG,177.86000061035156,179.76,170.07,0.53,170.07,185.92,consolidate,🔎 觀望 | 📈 季營收成長+10%(+16.2%),1,1.53,0,4.6,📍 偏離待回 ↑,173.0,178.87,170.82,5.87,3.3,up,1.33,0.1617,,51.4,1,1,0,0,1,none
CSX,49.93000030517578,48.96,46.86,1.35,46.86,51.29,consolidate,🔥 靈魂吸籌(觀察標記),0,1.35,0,6.6,⚠️ 已偏離,0.0,0.0,47.68,0.91,1.8,up,2.05,0.0172,,61.7,0,1,0,0,1,none
EXC,46.70000076293945,46.77,45.7,1.32,45.7,47.73,consolidate,🔥 靈魂吸籌(觀察標記),0,1.32,0,2.2,📍 偏離待回 ↑,46.18,47.13,45.55,0.96,2.0,up,1.05,0.0786,,52.1,0,1,0,0,1,none
CTAS,201.3600006103516,183.95,176.02,1.15,176.02,209.72,transition_high,🔎 觀望,0,1.15,0,14.4,⚠️ 已偏離,0.0,0.0,193.03,5.55,2.8,up,4.56,0.089,,69.0,0,0,0,0,1,none
CMCSA,23.520000457763672,23.49,24.21,1.07,24.21,24.68,consolidate,🔎 觀望,0,1.07,0,-2.9,🎯 甜點價,24.21,24.64,22.24,0.85,3.6,down,0.81,0.0525,,48.4,0,1,0,0,1,none
WMT,109.33000183105467,113.13,120.33,1.06,120.33,118.09,transition_low,🔎 觀望,0,1.06,0,-9.1,⚠️ 已偏離,0.0,0.0,105.2,2.76,2.5,down,3.99,0.0733,,36.4,0,0,0,0,0,none
BKR,56.59999847412109,56.08,61.77,1.06,61.77,57.63,transition_low,🔎 觀望,0,1.06,0,-8.4,⚠️ 已偏離,0.0,0.0,54.12,1.65,2.9,down,3.13,0.0249,,45.0,0,0,0,0,1,none
HON,232.9900054931641,228.12,229.84,0.9,229.84,238.11,consolidate,🔎 觀望,0,0.9,0,1.4,🎯 甜點價,229.84,233.97,220.6,8.26,3.5,up,0.38,0.0244,,54.7,0,1,0,0,1,none
VRTX,472.5700073242188,492.09,456.92,0.89,456.92,496.69,consolidate,🔎 觀望,0,0.89,0,3.4,📍 偏離待回 ↑,464.5,479.67,454.37,15.16,3.2,up,1.03,0.0782,,46.0,0,1,0,0,1,none
PEP,135.64999389648438,139.03,144.33,0.78,144.33,141.96,consolidate,🔎 觀望,0,0.78,0,-6.0,⚠️ 已偏離,0.0,0.0,130.0,3.77,2.8,down,2.3,0.064,,41.7,0,1,0,0,0,none
CPRT,27.170000076293945,28.45,30.97,0.75,30.97,28.76,transition_low,🔎 觀望,0,0.75,0,-12.3,⚠️ 已偏離,0.0,0.0,25.69,0.98,3.6,down,3.86,0.0209,,36.4,0,0,0,0,0,none
KHC,25.959999084472656,24.92,23.62,0.72,23.62,27.13,consolidate,🔎 觀望,0,0.72,0,9.9,⚠️ 已偏離,0.0,0.0,24.84,0.74,2.9,up,3.15,0.008,,63.1,0,0,0,0,1,none
SBUX,103.9800033569336,104.65,102.7,0.72,102.7,109.23,consolidate,🔎 觀望,0,0.72,0,1.2,🎯 甜點價,102.7,104.08,99.83,2.76,2.7,up,0.46,0.0879,,50.3,0,1,0,0,1,none
INTC,102.62000274658205,114.39,113.84,0.67,113.84,114.39,transition_low,🔎 觀望,0,0.67,0,-9.9,📍 偏離待回 ↓,109.36,113.84,91.86,8.96,8.7,down,1.25,0.0718,,43.5,1,0,0,0,0,none
GEHC,61.40999984741211,64.2,63.43,0.66,63.43,66.28,consolidate,🔎 觀望,0,0.66,0,-3.2,📍 偏離待回 ↓,62.5,63.43,59.19,1.85,3.0,down,1.09,0.0741,,41.5,1,1,0,0,0,none
VRSK,192.27999877929688,188.99,179.57,0.66,179.57,205.7,consolidate,🔎 觀望,0,0.66,0,7.1,📍 偏離待回 ↑,182.87,189.47,177.38,6.6,3.4,up,1.93,0.0393,,54.6,1,1,0,0,1,none
ADP,243.1199951171875,239.88,224.97,0.61,224.97,261.31,transition_high,🔎 觀望,0,0.61,0,8.1,⚠️ 已偏離,0.0,0.0,232.04,7.38,3.0,up,2.46,0.0695,,54.6,1,0,0,0,1,none
CTSH,43.18000030517578,42.3,48.15,0.6,48.15,45.49,transition_low,🔎 觀望,0,0.6,0,-10.3,⚠️ 已偏離,0.0,0.0,40.23,1.97,4.6,down,2.53,0.0583,,44.6,1,0,0,0,1,none
AMGN,366.0499877929688,362.93,345.56,0.57,345.56,378.54,consolidate,🔎 觀望,0,0.57,0,5.9,⚠️ 已偏離,0.0,0.0,353.24,8.54,2.3,up,2.4,0.0576,,57.0,1,1,0,0,1,none
FANG,203.0200042724609,185.42,193.31,0.56,193.31,204.96,consolidate,🔎 觀望,0,0.56,0,5.0,📍 偏離待回 ↑,195.87,201.0,189.99,5.13,2.5,up,1.89,0.0444,,66.3,1,1,0,0,1,none
PCAR,131.11000061035156,123.32,117.8,1.55,117.8,131.85,transition_high,🔎 觀望 | 📉 季營收衰退(-8.9%),-1,0.55,0,11.3,⚠️ 已偏離,0.0,0.0,126.14,3.32,2.5,up,4.02,-0.0894,,66.8,0,0,0,0,1,none
PYPL,55.5099983215332,48.26,45.79,0.55,45.79,57.67,transition_high,🔎 觀望,0,0.55,0,21.2,⚠️ 已偏離,0.0,0.0,52.63,1.92,3.5,up,5.06,0.0721,,74.3,1,0,0,0,1,none
CHTR,129.22000122070312,133.68,141.81,1.07,141.81,136.98,transition_low,🔎 觀望 | 📉 季營收衰退(-1.0%),-1,0.07,0,-8.9,📍 偏離待回 ↓,138.22,141.81,120.61,7.18,5.6,down,1.75,-0.01,,42.5,0,0,0,0,0,none
WBD,25.850000381469727,26.66,26.85,0.85,26.85,27.46,consolidate,🔎 觀望 | 📉 季營收衰退(-1.0%),-1,-0.15,0,-3.7,📍 偏離待回 ↓,26.58,26.85,25.2,0.55,2.1,down,1.83,-0.0096,,38.7,0,1,0,0,0,none
ODFL,232.8000030517578,224.53,219.79,0.67,219.79,238.51,consolidate,🔎 觀望 | 📉 季營收衰退(-2.9%),-1,-0.3299999999999999,0,5.9,⚠️ 已偏離,0.0,0.0,223.07,6.48,2.8,up,2.01,-0.0292,,56.4,1,1,0,0,1,none
QCOM,175.6300048828125,183.08,200.38,0.44,200.38,183.08,transition_low,🔎 觀望 | 📉 季營收衰退(-3.5%),-1,-0.56,0,-12.4,⚠️ 已偏離,0.0,0.0,160.91,9.81,5.6,down,2.52,-0.0346,,41.6,1,0,0,0,0,none
FER,64.12000274658203,65.86,67.19,0.85,67.19,65.86,consolidate,🔎 觀望 | 🚨 季營收雪崩(-16.2%),-2,-1.15,0,-4.6,📍 偏離待回 ↓,66.23,67.19,61.81,1.07,1.7,down,1.6,-0.1621,,40.1,0,1,0,0,0,none
